Username,waktu,Komentar,Rating
Fcyber 70,2023-06-18,permainan ter cacat cacat game developer buta tidak tahu main musuh kasih yang jago tim kasih bot bocah buta gak bisa main harus cepat hapus dari playstore permainan usak otak mempercepat darah tinggi cepat stress pokok yang belum main jangan main permainan pfw cacat,1
Parulian Gojek,2023-06-18,kepada google play hormat saya bagai main permainan call of duty rasa nyaman dengan prilaku permainan ini sudah menghabiskan kuota data menghabiskan waktu suruh download tapi akun blacklist buat apa install saya mohon untuk tutup permainan dari google play,1
Desi Sarinando,2023-06-18,permainan nya bagus benar tidak bohong grafik nya full hd sudah pokok nya mantap lah tapi bisa nya buat ram viral kalau yang ram nya jangan deh takut tidak kuat kalau ram nya bisa tapi hapuskan file file yang tidak berguna baru bisa tidak patah patah benar gas kan download,5
Rifa Jinan Maarif,2023-06-18,permainan aneh ganti jaringan semakin lag lama sangat harus saja login ulang saat sudah login ulang gamenya selesai semakin ban padahal masalah jaringan,2
Nadhif.18,2023-06-18,bro mau comeback buat akun baru tapi kamu mau saya pasang password bagaimana lucu sudah sesuai dengan yang perintah cara masang password tapi kamu nya ngeyel by the way buat akun baru pakai garena,1
king of craft,2023-06-18,grafik hd sangat bagus dan suara efek keren,5
Usman Farrokhih,2023-06-18,semakin lama semakin berat sangat simpan loading juga lama karena koneksi saya memang begini jadi kalau setiap hari download data terus kapan main,1
Joachim my,2023-06-18,gamenya bagus untuk mobile dari grafik permainan seru sangat,5
Bli Vicky Irianta,2023-06-18,upgrade senjata mythic ffar tempat para gamers top Cuma habis mythic card sedang ketika saya mau upgrade untuk level dan saja habis mythic card saya sudah upgrade sampai level tolong jelas,3
Ohitsme20_ ohitsme20,2023-06-18,untuk permainan sudah sangat bagus tapi tolong tambah karakter baru permainan call of duty advanced warfare mitchell gideon joker dan comeback,5
Stevano Ivan,2023-06-18,kena hit peluru masih bisa heal gilir sarung tinju one hit kill bentar saya semedi dulu cari masuk akal mana,1
Jatnika atmaja,2023-06-18,selamat siang maaf saya boleh minta tolong performa infinix hot play apakah bisa buka frame rate ultra tolong iya,4
Cibut Cibut,2023-06-18,ranked tiba tiba force close mau login gagal terus gilir bisa login aku yang kena hukum kurang point rank lucu sih iya aku yang rugi karena karena force close aku juga yang kena hukum padahal aku out dari permainan bukan karena niat out tapi garagara pihak gamenya masalah,1
Cinta Sejati,2023-06-18,permainan terlalu berat tinggi sekali tolong gb saja dong simpan cukup simpan hp patah patah sekali kenapa free fire nomor karena sip tinggi masa kalah sama free fire anda tidak tinggi simpan call of duty pasti banyak yang main lebih baik kita main free fire karena ringan,1
Navis,2023-06-18,games nya sudah bagus tapi please lah jangan sering download data kasihan yang hp nya kentang data sudah bengkak ini,3
IrvanNh 14,2023-06-18,tidak bisa login facebook kan main kamu apa iya akun hilang,1
Daffa Zaidan,2023-06-18,admin setiap login tidak bisa terus padahal sinyal bagus bisa buat download youtube media sosial bahkan main permainan online lain bisa gilir codm tidak bisa login timeout begitu tulis,1
Andre Kartolo,2023-06-17,terlalu banyak icon sehingga sangat bingung,3
Eugene Annikha,2023-06-17,saya sudah tiga kalau alami akun bisa login pertama kalau hubung dengan akun facebook dan tiba tiba hilang paksa saya buat akun baru dan kalau hubung akun garena sekarang hilang setiap mau login garena dan facebook tidak bisa padahal password dan email sudah sesungguh semakin minta buat akun dan sekarang tidak tahu mau hubung mana mana tidak bisa log out parah sangat permainan,1
Ilyas Maulana Muhammad,2023-06-17,mantap keren grafik nya sudah bagus tapi tolong saat reload senjata peluru nya jangan hilangin,5
Beko Frostayle,2023-06-17,gameplay sudah bagus tapi tolong sinyal nya padahal sinyal bagus tapi saat masuk lambat parah,4
Tian Ryuuken,2023-06-17,matchmaking yang adil bug desync dan sulit login masih sering jadi pada permainan nb sampai sekarang masih belum ubah permainan bodoh,1
Ramadeya Pandya,2023-06-17,gameplay bagus gerakan animasi bagus hanya kalau map isolated banyak bug sering jadi blink jelas setiap jalan tiba-tiba halang tidak mungkin seperti batu tapi lihat saat berguna mobil selalu tiba-tiba blink jelas terkadang naik motoratv selalu tabrak sesuatu tapi ada apa ada batupohon tapi lihat terkadang juga saya sering temu player yang berguna cheat auto aim saat main map black out,3
Ino bin yusuf,2023-06-17,habis log out akun tidak bisa masuk jangan mencari uang saja benarkan ini permainan mati,1
GbtG Wbang,2023-06-17,semakin update sih baik saja tapi kenapa semakin parah ya aku sampai tidak bisa login dan aku harus hapus buat bisa login codm lagi harus login kalau mau masuk sih buat susah saja,1
teguh prasetyo,2023-06-17,server jelas sering bisa login via garena,1
Gilang Tyo,2023-06-17,ada apa saat saya buka aplikasi langsung force close,2
Choirul Rozaq,2023-06-17,saya kasih bintang karena skin elit password saya sama skin senjata hilang itu kenapa percuma saya top up untuk beli elit password ujung ujung karakter dan juga skin senjata hilang,2
Agus Tio,2023-06-17,semua sudah bagus hanya minus nya ketika main mode berempat rank nya tidak seimbang kalau bisa untuk play mpbr sesuai dengan rank,5
Lantang Hari Utomo,2023-06-17,mau login tulis otorisasi gagal,3
Muhamad Sholeh,2023-06-17,lama lama bosan karena lama tahan nilai sedikit main sebenarnya kurang banyak  banya sesungguh cara hitung bagaimana sih kok aneh,4
Nory ganteng,2023-06-17,grafik nya bagus permainan nya seru,5
Rahman hulantu Maman,2023-06-17,saya kasih bintang karena bugnya parah keluar sendiri tanpa sebab tolong untuk baik bug sebut sangat resah bug sebut dan buat saya ganggu karena bugnya itu,1
Kevin Senjaya,2023-06-17,rusak ini permainan sering force close tolong lah baik hp saya bagus ram snapdragon gen jadi kurang terus exprank padahal gamenya yang buat turun tolong lah saya da menyumbang banyak duit,1
Reyhan Dwi Maulana,2023-06-17,bagaimana kenapa tiba tiba nickname saya ubah sudah update,3
Alya Zelfyela,2023-06-17,sering keluar sendiri padahal jaringan lancar dan memory mas banyak space nya,1
Jefry Adi saputra,2023-06-17,lah baru saja update hilang aku q tidak bisa masuk suruh buat,1
FaresHDR,2023-06-17,saya mau install permainan nya tapi saat semakin gagal sudah coba tetap gagal iya dulu juga begitu tapi akhir bisa install juga mungkin storage saya kurang  iya saya akan tetap usaha karena mau lanjutin level sekarang masih,4
Anggaa,2023-06-17,jaringan saya bagus buka apa apa lancar jaya gilir buka ini permainan anjing tidak masuk bersetubuh kamu codm buat emosi perbaiki server nya woi season jelek sangat server nya waktu itu aman aman saja gila,1
Muhammad Evraya Achlan,2023-06-17,call of duty rupa permainan bagus dan grafik bagus saya sabar tunggu season,5
Gilbert Lairan,2023-06-17,permainan apa sih masa orang hanya tidak punya wi fi tetap harus dapat hukum rank kalau tidak punya data sama wifi mau bagaimana,1
Dela Nilawati,2023-06-17,saya main setia codm dari  tolong gamenya optimal soal masih suka frame drop cara tiba dan tambah map mode br baru biar tidak bosen Hanya map saja,5
Sukriadi ihwan,2023-06-17,sekarang ada bug gamepad yang ganggu yaitu analog dua terkadang fungsi tidak bisa tembak tidak bisa jalan padahal gamepad masih normal bug untuk gamepad masih ada bug yang lainnya tolong baik permainan sayang ini,1
Bima Pratama,2023-06-17,permainan ini sebenernya bagus tapi yang merusak itu para cheater makanya jadi banyak bug terus jaringan jadi tidak kontrol trs banyak update itu saran saja dari saya buat garena lebih tingkatkan aman sistem jangan gampang mudah jebol jangan Hanya jual nama call of duty sama ghost saja tapi buktikan kalau garena memang yang baik cheater sampah mau dihabisin sangat player yang benar mau main sama having fun saja jadi tidak seru buat main,3
Denevil 14,2023-06-17,bug jaringan hilang bagaimana iya buka aplikasi lain oke saja saat match selalu kb,1
Darvesh Lutfi,2023-06-16,saya kasih bintang karena saat main sering jadi lag dan juga crash yang sangat menggangu main dan juga ada beberapa bug yang salah satu yaitu bug salah satu gedung vision city,2
Ningsi Kasibu,2023-06-16,bug parah lag tiba-tiba padahal jaringan sangat stabil,1
05_Davino Randi aprilio,2023-06-16,enak sih enak tapi mau login langsung layar utama lagi,5
محمد ارفن,2023-06-16,buat admin tolong server nya baik baru update langsung putus koneksi seperti apa itu update nya,4
Kiki Nugraha,2023-06-16,permainan nya bagus sihh tapi suka ngelag parah is tolong baik iya padahal sinyal bagus sangat,1
Raziq Purnama,2023-06-16,permainan rusak saya sudah menang tidak naik rank nya,1
Sandi Adicandra,2023-06-16,admin mau tanya kenapa akhir semakin sering log out sendiri iya waktu main padahal hp sudah support untuk main permainan berat dulu asa mohon baik,5
Mob Entertaiment,2023-06-16,bagus sangat banyak hadiah nya grafik nya juga bagus,5
Risqi Aoleng,2023-06-16,tolong lah servernya bedain antara mobile dan pc,4
Andra Rosy,2023-06-16,sesungguh gameplay nya bagus tapi setiap validasi setting gamenya kalau pakai wifi masa tidak jadi sih padahal biasa bisa semakin bisa pakai data kan rugi sudah ada wifi tapi semakin bisa pakai data pliss untuk baik,1
Muhammad Muhammad,2023-06-16,saya tidak suka mode hunter prop dan tambah mode baru multiplayer nya dan tambah mode baru classic nyaa,1
Lucky Ardiansyah,2023-06-16,ini permainan selalu pihak sama musuh masa tier rendah beri musuh tier tinggi,2
fikri haikalfrzdz,2023-06-16,semakin kesini bug parah sangat ketika saya mulai match untuk main ranked semakin dapat notifikasi maaf harus mendownload maap lebih dahulu padahal semua datanya sudah download terus ada bug pada karakter musuh ketika hit tidak mati semakin banding saya yang mati juga terkadang karakter musuh suka teleportasi ketik saya tembak musuh dan banding saya yang mati juga padahal saya saat main permainan call of duty sinyal bagus saja,2
Noer Bintang Trianto,2023-06-16,habis fakum bulan coba download kenapa semakin stagnan  padahal hp saya sudah support loh,2
Arjuna Wicaksono,2023-06-16,aku suka permainan keren dan relaxing tapi map nya boleh tambahin tidak map nya adalah di day nanti cari youtube iya,5
Fauzia Novita R,2023-06-16,tolong dong ram simpan jangan besar sangat saya mau download harus hapus aplikasi lain terus saat sudah download bisa install padahal ruang penyimpananya sudah kosong banyak tapi tetap bisa download garagara ram simpan permainan besar sangat dan juga tolong ranknya saat main br pisah saja jangan jadi satu  seperti misal legend lawan sama legend begitu terimakasih,1
Ris Wandi,2023-06-16,terkadang susah login dan lag kalau baru masuk padahal di aplikasi lain bagus saja jaringan saya,4
SHP,2023-06-16,yang buat permainan tidak ada pikir lawan tidak sesuai hp saya ram sinyal garis saja iya pasti kalah,5
PSKS BABAR,2023-06-16,aneh sangat tidak bisa masuk in permainan semakin muat koneksi selalu padahal lobby bagus saja begitu bug atau apa sih tolong lah garagara itu free sangat minus rank mp saya hilang push nya susah hilang nya free seperti begitu aneh,1
Viane7702,2023-06-15,turut saya COD membutuhkan koneksi yang stabildan frame rate yang kuat biar bisa kat vps and vps,5
RIZAL ANZUHRI,2023-06-15,baik soal bug yang keluar permainan sendiri ganggu sangat,1
Romadhoni Dhoni,2023-06-15,jaringan tidak tapi semakin hubung internet slalu hubung server baik tertawa,3
Andra Hermawan,2023-06-15,semakin update semakin berat render permainan nya tolong ringan untuk render nya,5
Fransdito Firnanda,2023-06-15,saran untuk buat mode pertarungan royale nya lebih bagus tidak mirip warzone di mode pertarungan royale ada banyak hal yang harus perlu class dan untuk gerak gerak nya lebih buat masuk akal atau mirip cod warzone lebih fokus kembang gameplay daripada skin karena kalau banyak skin hanya buat lag dan tambah memori yang perlu,3
Cello Christellgo,2023-06-15,gamenya bagus realistis dan mudah disetting tidak seperti ep ep,5
FATHINTAQY DARMAANSORI,2023-06-15,jangan mainkan permainan saya login selalu time out kalau tidak time out iya dapat login padahal sudah top up banyak tapi semakin jadi salah jaringan seperti gin untuk pihak garena tolong baik iya,1
BAR Gaming,2023-06-15,tolong tanggap baik bug nya saat saya login codm pakai akun facebook sering muncul login time out padahal jaringan saya lancar saja sampai pakai wifi pun juga time out dan itu tidak hanya sekali dua kalau dan untuk login kembali harus install ulang codm nya dan harus download data itu sangat repot tolong dari pihak developer tanggap,1
Rifaldin,2023-06-15,permainan hampir sempurna hanya yang paling kecewa masih banyak player yang pakai cheat vip dan belum banned apa rank gm selsaikan main ranked buat stress lose terus matchmaking selalu dapat tim average bahkan ada bot seperti lawan selalu ketemu tim sultan pinoy yang main tidak masuk akal dan sudah pasti pakai cheat permainan tidak kompetitif admin sibuk nguras isi dompet player saja seperti,2
Avicenna Rifqi,2023-06-15,bagaimana sih update baru saya tidak bisa masuk akun garena saya setiap kalau mau masuk semakin balik terus loading screennya tolong lah baik,1
Galank Nevada,2023-06-15,tolong perbaiki itu server nya main kenapa mental terus keluar dari permainan setiap ada lawan pasti keluar permainan sendiri nglek tidak jelas ini permainan sampah apa permainan busuk,1
Nothing_ 2,2023-06-15,sinyal bagus tapi suka timeout saat mau login tolong erti,4
Awok Awok,2023-06-15,tidak bisa loginkan kenapa dh buka yt bisa lancar saja semakin lucu,1
Tri Budi,2023-06-15,main multiplayer masalah tapi jika main battel royale selalu ngelag dan terkadang logout sendiri masih banyak bug sudah pakai jaringan terus wifi juga saya coba main games belah ada masalah mohon solusi dan segera baik,1
WELDIANSAH PANDU,2023-06-14,matchmaking jelek sangat tidak seimbang antara temen sama musuh,1
Damar Gaming's,2023-06-14,saya saat login akun garena bisa masuk baca harus aktif cookie dulu sudah aktif cookie sama saja tetap bisa masuk bisa beginidan juga saat mode br temanrekan tim ada itu adalah rugi yang alami oleh player karena ada teman yang tolong dan juga saat masuk permainan lama sangat sinyal sudah bagus tidak tolong developer untuk selsaikan semua itu,1
Muhammad Rizky,2023-06-14,aduh bug timeout selalu saat mau login fix buru,2
Amelia Nur fatimah,2023-06-14,mohon maaf kepada pihak codm saya setiap login selalu hubung server ya dan lama Sekali tunggu nya ladah sinyal bagus apa sedang masalah permainan codm mohon respon nya,3
HERMANSYAH SEMBIRING,2023-06-14,seperti mana permainan aku mau login payah kalau padahal jaringan bagus mau login masalah jaringan saja baik lah capai loh tidak masuk masuk koneksi pun masalah nya aku itu mau main anjing,1
Banteng Noob,2023-06-14,untuk codm tolong tambah fitur random favorit skin seperti valorant,5
boni Boni,2023-06-14,sinyal tidak bisa bagus server menghubungkn ulang terus server semakin kesini semakin jelek saja buka benarkan malah banyak skin draw semakin lama semakin spi ini game kalau tidak benarkan sinyal server nya susah terus,1
Helen FF,2023-06-14,admin saya main mp ranked terus saya ketemu musuh grandmaster semua padahal saya master tapi temen saya pro semua kalau berturutturut tolong baik iya admin hampir hapus ini permainan karena karena kalah terus,1
bima romadhoni,2023-06-14,kalau saat mode ranked kasih lawan yang padan lah kasih lawan yang sudah hebat terus woi jadi malas maennya,1
Raditya Blitar,2023-06-14,developer buatkan teropong yang bisa zoom out dong please butuh sangat soal nya,5
Indonesian Citizen,2023-06-14,good permainan tapi sekarang servernya sering lost terhubung banyak jenis senjata,5
Mizan Khalifah,2023-06-14,saya suka call of duty update s nya tapi bug nya sedikit lebih parah saya tiba forceclose atau keluar sendiri saat main call of duty dan juga sinyal saya bagus tapi lag parah call of duty nya dan juga susah login tolong baik bug nya terimakasih,1
Muhammad Ilham,2023-06-14,seru gamenya map banyak senjata nya keren belum skillnya unik jadi tidak bosen main setiap hari,5
AAZ_ Gaming,2023-06-14,setiap main mode zombie selalu patah patah padahal mode pertarungan royal e sama multiplayer aman,1
arief aR,2023-06-13,semenjak update koneksi masalah terus padahal sebelumnya lancar gila kesal sangat war tahu tersangkut jaringan padahal buat buka yt sosmed lancar tolong baik,1
Keisha Amelia,2023-06-13,mb nya semakin besar jadi suka ngebug juga pokok sekarang semakin parah padahal dulu seru permainan nya tolong mb nya kecilin,1
Rahman Alfarizi,2023-06-13,sinyal tolong walaupun pakai wifi terus pindah pakai data saat main vs drop tidak jelas main permainan lain lancar tidak tahu kenapa codm ping tiba drop,2
Aldo Aldo,2023-06-13,saya kasih bintang karena semakin keren saja ini permainan buat admin tolong seperti gratiskan saja skin senjata yang keren begitu yang ada efek iya,5
zxcaptnz,2023-06-13,oke lah sudah main dari tapi masalah nya iya admin ada salah satu bug yang saya benci yaitu bug stagnan yaitu kaki masuk tanah sisa badan saja baik mi ag,4
Pengguna Google,2023-06-13,tidak bisa sign in padahal sudah bagus jaringan internet nya permainan nya jelek kualitas sudah tinggi tapi tetap jelek seperti free fire jelek sangat,1
Ucel Kun,2023-06-13,matchmaking tidak jelas ws tiba tiba masuk match yang sudah kalah babak bomb mission,1
santa rhp,2023-06-13,waktu minggu saya harus uninstall dan install banyak x garena sesungguh bego g pernah dengar keluh para player gw aku permainan nya bagus cuma admin nya yang pada gila dan bodoh,1
Alif GR,2023-06-13,okini kenapa sekarang saya tidak bisa masuk permainan seperti dulu benarkan system loginnya dari tadi kan main tapi tidak bisa,3
