Username,waktu,Komentar,Rating
Pratama Putra Hendrawan,2023-06-19,banyak update kebanya an download waktu habisin sia siafile update download besar bergigagiga nanti kalau sudah berat gamenya tinggal hapus instalan karena sudah jelas permainan yang buat berat sudah pasti permainan yang bakal uninstal dan bila sudah waktu instalan permainan layak dan pantas hapus,5
Arif Project,2023-06-19,banyak npcbot yang tiba tiba muncul yang menganggu kita main atau tahan step,1
Adrian Rafa,2023-06-19,sumpah tidak habis pikir sama pubg main livik kenapa banyak bug nya sih saya coba login ulang semakin jalan nya lambatstuck saya kira semakin bagus semakin seperti begini tolong dong baik,2
Dead Pool,2023-06-19,memang semakin parah ini permainan semenjak bukan tencent yang pegang dulu saat tidak sengaja login ulang bisa masuk tanding lagi sekarang tidak sengaja login ulang sudah tidak bisa masuk tanding bangkek ini krafton,1
Rayhan Rayhan,2023-06-19,ampas sangat semua sudah bagus buat main versi duo vs duo server iya error selalu gilir squad solo tolong lah nya lebih baik main ff saya walaupun jelek daripada hd hd server jelek,1
Burhan Al fatih,2023-06-19,masalah unduh data padahal jaringan enak saja,1
Sayuticst Cekti,2023-06-19,ada ubah makin upgrade semakin hancur permainan patut player nya sudah kurang minat main gamememang sampah,1
Heri Yanto,2023-06-19,tolong lebih stabil tencent gadget ram pun masih sering lag dan frame,5
Pebri Ghanz,2023-06-19,semakin lama makin butuh jaringan padahal pubg dulu tidak masa jaringan saya hijau tapi selalu kembali lobby itu yang buat kami semakin malas login permainan padahal gamenya seru,3
Cicoyy Cicoyy,2023-06-19,mohon maaf buat devolover buat gamenya sekarang jangan update terus baik saja bug bug bisa ambil senjata dan bug tidak bisa buka pintu masuk keluar mohon baik jangan update terus itu saja terimakasih,3
Afdvtf Vxbtdc,2023-06-19,banyak bug dan player anak kecil resah kan setiap mac dapat tim bodoh lawan semakin pro padahal rank saya sudah ace turun karena dapat tim gjgendok kadang  pula itu kalau mau ramai kasih tim yang sesuai dengan rank lah mohon per baik iya kalau tidak lebih baik pensiun saja main ini permainan,1
Yusuf Hermanto,2023-06-19,matchmaking quick match solo lama sekali sih,1
Arwin saputra,2023-06-19,tolong developer untuk bug gyroscopenya aduh resah sangat cok saya oke asus rog phone,1
Mega Putra,2023-06-19,sudah ada baru karakter jadi cacat dan ganggu main,2
feril_ferisal,2023-06-19,download data in permainan lama sangat cepat download ada mb padahal jaringan stabil kalau pakai download yang lain selsaikan mb,1
Rohman Gaul,2023-06-19,masa main gemehabis itu lanjut main lagikenapa jalan lambattolong pubg segera perbaikikalau segera baik mungkin player pubg banyak yang pensitolong bug nya perbaikisaya ulangin masalahnyajalannya lambat,2
Novanolo Gulo,2023-06-19,sudah update tadi kok sistem custom pilih tempat atur posisi senjata dan lain lain kok kembali normal baru saat ulang kembali tetap tidak bisa dan kembali mode normal dan sudah update tadi siang kalau kok tulis jaringan server saat dan ada tulis ok selalu ada saat aku mau mulai main pubg tolong lebih baik bug nya,4
Chand Hendry,2023-06-19,iya dari dulu main pubg sudah tahun kena banned terus lama tidak mood main pubg cokk padahal saya tidak pakai cheat saya kecewa sama pihak tencent lebih baik pensiun saja lah,1
GIGIK VESVA PRASETYAWAN,2023-06-19,server merespon padahal jaringan lancar makin lama bukan kembang tapi semakin lebih buruk kacau,1
Jacinta Mariz,2023-06-19,tolong kembaliin menara nya dong agar kamu yang main klasik turun nya menara biar dapat fluer gun,4
Dajal Anak,2023-06-19,pubg sekarang seru hampir satu map semua pada both bisa beda mana both dan player sekarang,2
Nisx Raizen,2023-06-19,untuk update depan kalau bisa tambah senjata baru an atau aku suka blok timur saya,5
ferdyan JKRC 094,2023-06-19,sinyal sulit padahal sinyal g makin hari semakin jelek,1
Rendy Tavares,2023-06-19,maaf iya developer kok saya tidak masuk permainan sih padahal jaringan sudah stabil,1
Email Pemulih,2023-06-19,kenapa sekarang log twitter troble terus masih troble tapi tidak parah sebelumnyaminus kalau war auto lobby,1
Kasrum Sirait,2023-06-19,semakin hari semakin banyak saja yang ngecheat ini permainan tolong dong admin nya lebih perhati jangan kan enak nya saja tertawa,1
Kus Wandi,2023-06-19,permainan terlalu berat untuk main tolong kecil performa nya admin biar frame drop,3
Siti Galuh,2023-06-19,tidak bisa masuk permainan padahal aku sudah pakai wifi tetap bisa tolong baik,1
Bulan Febuari,2023-06-19,pubg please baik pubg nya banyak ngelag please iya pubg karena saya main banyak ngelag selalu ngelag sama baik dino nya susah naikin please baik max,1
Elang sagara wahyudi,2023-06-19,minimal kalau masih ada bug tidak usah dirilis dulu ya,1
Bagus Surya,2023-06-19,tolong kalau habis turun dari pesawat render tempat cepat,5
Suguh Putra,2023-06-19,season saya sering alami bug jalan yang sangat gelap dan bug layar gelap hanya map livik,3
Azzz,2023-06-19,kepada developer tolong bug jalan lambat layar hitam segera diatasilahh semakin tidak nyaman kalau main setiap ada bug harus login ulang paksa harus ninggalin temen satu team dan hilang poin merid ayo developer perhati permainan lebih teliti gamenya sudah bagus tapi dengan ada bug beberapa main masuk saya sudah risih gk nyaman tolong iya kepada developer untuk segera selsaikan hal hal kecil,2
Zidny Qorih,2023-06-19,tolong bug in permainan jalan lambat,2
Agus Aryanto,2023-06-19,banyak room mau main tanding saja lama sangat play nya sudah kapasitas memory besar banyak dagang skin jadi makan kuota banyak pay sudah tidak mutu permainan nya,2
TC esport,2023-06-19,rubah semua damage senjata jangan terlalu over power kalau kita sudah perang armor dan helm rusak sulit buat cari yang barumasak menit hanya buat ngeload sama ngendok biar menangkalau tidak mau rubah sedia buff armor jangan stamina saja,1
Lembink Arif,2023-06-19,semakin lama semakin susah setiap baharu versi semakin lama semakin tidak seru gamenya sekarang sudah banyak yang tidak main sudah baharu banyak player yang keluh device yang tidak mumpuni dulu karena ada kami main permainan hanya buat hibur semata jangan terlalu berat baharu rindu seanson s s yang ringan device,1
Richard Santora usman,2023-06-19,setiap laporin chiter tidak pernah di baned padahal sudah jelas ngchit parah tidak seperti dulu laporin cheater pasti ada yang di baned bagus permainan nya semoga tambah banyak player yang ngecheat biar pada pensiun main pubg,1
cap tikus,2023-06-18,sudah sudah update sering gebaksetiap jika mau lari terus fpis naik turun padahal sudah depan mata itu wifipokoknya harus perbaiki semakin lama lama makin kurang orang main kalau tidak benarkan tidak seru kalau main terus gebakitu saja siitolong cepat perbaiki bro,1
Naura Shaqila azahra,2023-06-18,tolong untuk krafton turun kan kapasitas simpan nya dong update geh update Hanya iya menyiksa player kentang,2
Muhammad Jefri,2023-06-18,pubg kntl banyak bug nya ngntod kalau mau buat game minimal jangan banyak bug nya lah ngntd,1
Himada El Karim,2023-06-18,Hanya ukur yang besar tolong kecilin lah permainan nya,4
Polsek Sumberjambe,2023-06-18,halo pubg kami temu bug yang ada metro royale bug sebut adalah bug jalan lambat dan semua barang semua main hilang serta lengkap nya saat kita spawn dia awal permainan dan juga bug jatuh dari map dan bug sebut turut aku itu bug kemunkinan besar karena sinyal dan juga banyak para scammer yang manfaat bug sebut dan bug sebut harus selesai kan bug jalan lambat dan jatuh dari map dan semua barang hilang harus selesai karena curi semakin tambah banyak,4
Bang Anooeess,2023-06-18,saya harap kepada tencent update lanjut bisa keluar pistol listrik mungkin itu akan mengasykan,5
Andi Goni,2023-06-18,saya sangat kecewa sekali saat saya main pubg mobile kapasitas permainan terlalu besar kualitas permainan juga semakin berat dan satu masalah nya terlalu banyak bug yang ada pada permainan pubg mobile saya harap pihak pubg mobile cepat nya baik masalah yang ada pada permainan pubg mobile untuk rating saya kasih bintang karena saya terlalu kecewa pada pubg mobile,1
ari primangsa,2023-06-18,pubg sekarang sedikit parah sih banyak sangat bug nya semenjak update tadi siang main map livik jalan lambatstuck coba login ulang dan baik rutin semakin tidak bisa masuk akun lagi sudah begitu code verifikasi lama pula terkadang masuk terkadang tidak email semakin sekarang tidak bisa login sama sekali permainan tolong baik masalah,1
Dee Mofo,2023-06-18,mohon kalau main squad itu kalau revive jangan hanya satu kali minimal atau soal main jadi banyak yang afk dan keluar jadi kami susah main iya,2
Fajar Derry Drajat,2023-06-18,wa bingung saya mau bilang apa soal dikit dikit request time out rto padahal dulu tidak seperti gitu sinyal sudah pasti baik semakin pubgnya yang buat saya meriang bagaimana ini solusi mohon cepat baik supaya saya bisa main dengan tenang ketika saya main pubg saya rasa bahagia karena rto terus saya jadi males lebih baik saya pindah ep ep aja mohon cepat baik iya saya cinta p u b tidak pubgnorto,1
Jaffzz ジャフズズ,2023-06-18,seru sih tapi iya frame drop tolong dong tencent optimalin gamenya setiap masuk event harus rendernya lam,4
Immanuel Suruan,2023-06-18,saya kira habis update bakal bagus padahal bugnya sama saja kita biasa lari lambat sangat suka ngestuck terus layar hitam kalau login ulang saat lari lambat rejoin match langsung layar hitam tolong buat developer hilangin bug soal ganggu player kalau mau banyak minat harus buat bagus gamenya,1
Hizqil Khafiif,2023-06-18,hey kau kalau buat permainan kamu yang sesungguh lah itu saya protes karena tidak bisa main dengan teman saya yang pakai akun google sedang saya pakai akun guest saya kasih bintang kalau permainan mabuk ruang internal kalau sudah fix soal habisin kuota sangat sia saya download makanya baik permainan ini masa kala sama freefire semoga fix,1
ahmad zul,2023-06-18,tolonglahbnyk sekalibug yang muncul seperti karakter susah lari layar hitam livik dan yang lain mohon juga untuk jaringan jika jaringan sedikit jelek jangan buat login ulang atau keluar tempur karena beberapa waktu jaringan itu butuh sesuai yang paling sebal kalau dilobby suruh login ulang terus dan ketika gameplay sudah lancar bagaimana sih atau kalau lag tempur langsung lobby biar lah jaringan sesuai dulu,3
Jumaidir Maidir,2023-06-18,grafis macet tidak bisa gerak kanan kiri saat ada musuh,1
Rizaldi Julyan,2023-06-18,untuk pubg mobile tolong baik bug layar ads yang tiba-tiba bisa geser karena itu sangat rugi player bug Hanya clasic tapi room juga saat coba login ulang semakin bug microphone baik juga bug tpp yang tiba-tiba ubah saat main bug bug sebut sangat rugi player apalagi kompetitif sudah sering saya lapor bug bug sebut tapi masih belum ada tanggap atau baik,1
Zahran,2023-06-18,kalau serang rekan tim karena sengaja tapi tetap report sangat menganggu saya bisa gerak sama sekali,1
Reza Zidane,2023-06-18,kecewa sama pubg yang sekarang terlalu fokus event sehingga kondisi permainan nya perhati sya sudah main pubg dari s walaupun berguna akun lama tapi pubg yang sekarang terlalu parah jika banding dengan yang dulu masalah server sinyal saya sangat oke dan aman tapi saat main pubg harus rejoin terus terus saat sudah rejoin terus terus semakin ada tulis server did not respond dan bug mic yang paling parah dari season dulu sampai sekarang masih saja ada bug mic,1
Kikifiraldi Riskifajrin,2023-06-18,developer toloong bot yang ada erengel pliis damage nya kontrol soal nya bot rasa lawan player dan tolong jika ada temen kalau kenock pasti pada dateng bot nya sudah lah,5
Demus Dem,2023-06-18,tolong dari pihak kembang permainan tolong baik ada bug kaki nya kenapa terkadang tekan sprint tidak bisa lari sih seperti bot lengket begitu tanah kaki nya lama tidak neng saya main nya,1
Ropey San,2023-06-18,performa selalu kurang dan jaringan pun sama padahal bagus jaringan dan forma saat main permainan lain,3
Harth _361,2023-06-18,banyak bug yang ganggu gameplay kendara yang sangkut batu sampai kendara masuk dalam tanah,1
Fazae Tokyo,2023-06-18,terlalu sering koneksi sering putus untuk update sekarang tolong baik,4
andi julianto,2023-06-18,sudah abdet jadi lama seperti bot tiap mau masuk room jadi tidak bisa lari cepat jadi seperti bot dari kalau masuk room Hanya satu sekali tidak bisa main jadi sering keluar masuk map kecewa tolong baik lah,2
Agung _,2023-06-18,permainan nya bagus Hanya turut saya masih ada banyak bug in permainan nya,4
Jorgie Fernando,2023-06-18,assalamualaikum admin saya sudah main permainan lama tahun dan sangat suka dengan pubg setiap hari jam permainan dear player semoga bisa dapat juga glacier sama orang lain sudah peti klasik dari pertama main sampai sekarang bom juga dapat id aurasimilikity,5
ajangpsm bbl,2023-06-18,saat buka scop selalu patah patah bahkan saat rarak titik bidik selalu patah patah bagai seperti cara saya coba tapi tetap hp sudah ram masih itu patah patah bosan main pubg,1
Muhammad Mulya Saputra Saputra,2023-06-18,permainan iya sangat senang dan juga seru tapi balik itu sistem aman sekarang kurang ketat banyak yang berguna cheat meski tahu player lain tidak tencent langsung tahu itu,3
Rudimiko Miko,2023-06-18,sudah lama tidak main jebak server europa tidak bisa balik asia bakal lama tidak main pubg,1
M.Adi Diansyah,2023-06-18,habis update tiba tiba logout sendiri saat login gagal masuk terus lalu pakai lupa kata sandi kode tidak masuk terus pakai mode bantu tidak bisa juga sayang sangat akun dari season tidak bisa buka,1
NITRO BOY GAMING,2023-06-18,saya kasih retingnya kecil karena ada bug akun saya nama nitroavx saat saya masuk dalam lobby selalu lambat dengan tulis minta waktu habis atau server ada respon padahal kuat internetwifi bagus saat masuk gameplay dan buka aplikasi lain mohon baik,3
IMQ,2023-06-18,permainan lama lama sering lag anja lah  bukan masalah jaringan  tapi kapasitas permainan semakin besar,2
Fahru rozik,2023-06-18,jauh sudah bagus sihtapi ada bug yang dimana kalau kira nyoba lari semakin Hanya jalan dan itu jalan slow bangettolong benarkan bugnya,3
MMR,2023-06-18,saat mau login server error selalu sudah saya uninstall terus saya install kenapa sama saja server eror padahal wifi saya cepat dan ping nya bagus,1
Anugerah Bagus Ibrahim,2023-06-17,premium crates semakin sampah saja sekarang masa guarantee hadiah Hanya skin attachment saja mana Hanya bisa apply skin senjata tentu dan skinnya harus gacha juga paramakin ditinggalin main lah,2
Airin Chan,2023-06-17,kira ada baik ternyata permainan paling ampas gkjlas sinyal makin jelek frame drop dan lag adehh baned saja lah permainan ampas,1
Heri Dwi Fauzi,2023-06-17,konfigurasi sensitivitas senjata sensitivitas lanjut sensitivitas senjata bisa copy senjata lain dulu bisa sekarang repot kalau mau ganti sensi tidak bisa copy masa atur,2
OZI G4M1NG,2023-06-17,saya ingin dapat m glacier please lah main sudah lama tapi setiap gacha peti clasik tidak pernah dapat please lah,5
Marselino Audi,2023-06-17,mmm tidak ada yang tidak bagus sih hanya iya jika mode fpp terkadang tidak bisa distabilkan kan atau tidak bisa play coba update agar mode fpp bisa main kan agar lebih tantang,1
Wafirsyahriwi Ahmat,2023-06-17,semakin lama semakin banyak bug nya ini permainan tidak jelas,1
aqshal rockers,2023-06-17,ram nya kecil dong makin lama semakin besar,1
Reigan Negan,2023-06-17,pubg tolong baik entah bug atau memang jaringan kurang baik saya selalu alami lag yang sangat ganggu dan itu selalu jadi jam padahal belum selalu aman aman saja ketika main namun semenjak update baru baru mulai jadi lag padahal ketika buka aplikasi lain itu lancar lancar saja ada ganggu,1
Sarjan Ismail,2023-06-17,parah ini banyak kalau bug nya tolong baik belum pemain pubg pindah permainan lain,1
Cakra Gabut,2023-06-17,sementara saya kasih bintang soal zona sini itu terlalu cepat sama bug mobil yang jepit sama nembus aduh tapi yang perlu baru zona nya yakali zona secepet itu itu zona atau apa,4
Riyan Coeg,2023-06-17,tolong baik bug layout sering riset ss sendiri,5
ZeroOne 666,2023-06-17,mohon maaf saya hanya ingin beri tahu bahwa saya edit file activ sav agar performa hp realme c ram saya lancar main permainan dan saya sangat senang sekian terimakasih,5
Gy,2023-06-17,saya sudah nonaktif fitur auto download tapi tetap mendownload cara otomatis,2
Muammar 2911,2023-06-17,permainan nya bagus hanya kurang tidak bisa jumshot saja,5
nurdin Darmaman,2023-06-17,jadi lag dan stagnan screen dan paksa harus force close agar bisa main setting sudah turun agar lag dan masih jadi sinyal bisa bilang stabil tetapi iya masih lag terima kasih,5
Hery Channel MG Studio,2023-06-17,jawab krnapa pubgm tinggal player saya main permainan dari s sekarang sudah semakin banyak player curang berguna config yang banyak diyoutube frame rate drop dan banyak bug map event saya akan menguninstall permainan lama permainan sangat buruk laku player selamat tinggal,1
Vikram Junior,2023-06-17,sudah lah jaring bagus hp dukung trus salah nya dimana kenapa tidak bisa masuk sekarang makin lama makin tidak jelas ini permainan,1
Yuda Pangestu,2023-06-17,permainan nya seru banyak event keren dan bagus tapi sekarang agak bayak cihtter nya dan ada bug yang belum baik semoga depan nya bisa lebih bagus dan ada banyak citter,4
