Username,waktu,Komentar,Rating
Bagus Praditya C.O,2023-06-21,tolong baik iya bug nya serta resize dan sedikit low in iya om texture nya  saya bagai berguna low device sering alami lag dan patahpatah saat temu musuh atau pada saat loot senjata ada kah yang masalah sama saya,3
Cucunenek,2023-06-21,permainan sangat bagus tapi setiap saja main pasti jaringan nya tap semoga semakin tidak setapil jaringan nya,5
Afrizal Januar,2023-06-21,jaringan tolong baik biar player jadi nyaman kalau pingnya merah terus mau nyaman bagaimana playernya tolong baik,3
Riyo gboy,2023-06-21,ah macem tai permainan sudah tidak ada seru nya sekali naik sedikit poin ranked nya sekali turun banya tolong lah kondisi kan garena,1
Giva Ogi,2023-06-21,tolong baik bug saya tiba tiba keluar dan kredit skor saya kurang kata saya keluar paksa padahal tidak tolong baik cepat,1
Kustaman Lasido,2023-06-21,permainan semakin diupdate jadi rusak banyak bug bug pertama tidak bisa masuk permainan harus login beberapa kalau baru bisa masuk bug itu sudah ada diseason belum tapi tidak baik masih banyak bug permainan tapi hanya itu yang parah saya mohon untuk baik gamenya masalah grafik sudah op tidak perlu tingkat cukup ingamenya baik satu beri katana gerat lah co yang bisa bawa lobby,3
Muhammad Augies,2023-06-21,musuh titak sesuai dengan rank kita sehingga permainan play terlalu susah dan juga untuk update yang ada sangat sedikit hadiah gratis nya dan lebih banyak event bayar mohon perhati,1
Hesty 882,2023-06-21,saya suka permainan penting dowlond saja biar seru cepetan dowlond semua tapi permainan itu saya ajak baiwan kakak tapi msalahnya login saat itu loh kakak jika buka br ranked atau cs ranked tlong minta garena jadi ralistic kakak soal sungai ada sampah nya bisa cantik daripada jelek kakak jika upate saya lebih suka realistic biar semakin seru kamu kakak tlong minta pda garena iya kakak please sol buat orang orang suka free fire kakak terimakasih selsaikan pertolonganya ya kakak semangat kakak biar gembira ya,5
Muhammad Fakhri,2023-06-21,permainan rusakk semenjak update banyak sekali bug bug aneh contoh nya saat login bisa pilih mode main sudah ber ulang ulang kalau rilog tetap tidak mempan tolong garena baik lagi karena saya jadi tidak semangat main pantes saja banyak yang pensiun,1
Iqbal aryanto,2023-06-21,ini homer nya kurang bodoh masa main ada update semakin kemampuan aktif nya  iya tidak logis mana sekali ikut war musuh pakai alokcrono di tambah kemampuan aktif dari update homer nya rangin tolol coba saja main solo vs squad lu bisa booyah di rank master saya beri dm anjsama bug damag apa emng damag nya gedein masa sg hit tidak mati anjing anjing permainan jelek,1
Fariz Yazid,2023-06-21,permainan aneh masa saat saya sekali main bisa saat main semakin koneksi jaringan anda buruk padahal baru beli kouta sama jaringan nya bagus,1
syamsul bahri,2023-06-21,garena tolong baik bug yang game free fire bug kalau ketemu musuh langsung patah padahal jaringan saya bagus kamu garena iya semakin update free fire semakin banyak bug bukan semakin bagus kami para player free fire sangat resah kan kalau ada bug dimanamana tolong iya garena baik dan hapus bagbag nya itu saja dari kami player free fire,1
Aef Indra,2023-06-21,dear garena saya kasih bintang karena bug jaringan mohon baik agar main nyaman dengan permainan inigarentod,1
B,2023-06-21,senang rumor hanya pada jaringanping ketika sudah belakang gloowallbangunan sekitar dmg musuh masih tembus lalu jaringan baik ketika musuh menang juga ketika ingin mulai buah match koneksi tiba error kurang honor score player karena keluar sendiri mohon baik garena,5
tirto martin tirto,2023-06-21,permainan semakin jelek banyak bug semakin update semakin jelek lebih baik ml kalau lama lama banyak bug habisin duit top up bug hilang gambar itu haduh semakin jelek ini permainan,1
Fahris Isra,2023-06-21,garena tolong iya jangan hanya update tapi jarigannya tidak urus suka masuk dalam game dan baca info game lah tolong iya baik kalau kita akan mals mainkan game yang sesuai dengan ekspetasi dan sudah seru seperti dulu,2
Imam Dzakwan,2023-06-21,permainan bodoh banyak bug anjink permainan jelek anjing semoga saja tahun depan tidak laku permainan ini playerr nya seperti ta grafik tolong baik dan gameplay in gamee kurang bagu an,1
Syarif NR,2023-06-21,bug nya banyak sangat  dan juga semakin lag jadi malas main,1
Sugiharto Khentir,2023-06-21,ubdate terus bug tidak urus percuma main m kalok bug nya tidak pernah urus permainan sampah padahal dulu enak sangat main ini permainan sekarang match saja saya tidak mau main,1
Sebastian Pratama,2023-06-21,permainan nya aneh sudah kena dua hit tidak mati tolong baik permainan nya,5
C H E E G E M B E L,2023-06-21,tolong sinyal nya baik dan masih ada bug damage sekian dari saya terimakasih,4
Mayang Sary,2023-06-21,semakin lama bukan semakin bagus mlah semakin rusak ini permainan jaringan bagus tiba lag saat reload hp login bukan masuk permainan mlah muncul tampil lobby tapi tidak bisa ngapain lucu lama ini permainan,1
Bima Febrian Yanuar,2023-06-21,saya main clash squad ini nah jaringan saya lag ping saya saya keluar masuk eh semakin saya kira afk dan score saya bawah lah padahal saya tidak afk memang permainan tidak ada otak padahal saya hanya keluar lama detik buat baik jaringan padahal score tim saya baru,2
Muhammad Rafli,2023-06-21,permainan tidak jelas bug jaringan nya tidak benarkan apa,1
Wahyudi Eka permana,2023-06-21,main seimbang banyak bug buat mata rusak epep permainan jelek yang pernah ada,1
Anisa Nisa,2023-06-21,main memang seru tapi saya harus download karena waktu saya mau masuk bisa login,5
Muslikah Grogolbeningsari,2023-06-21,maaf garena saya beri ranting karena saat mau download vault baju senjata dan lain lain kok tidak bisa itu pun sudah update mohon bersihin bug nya iya saat mau download senjata juga tidak ada bentuk senjata nya sama sekali,1
Raditya Nur Ananta 2908,2023-06-21,ada banyak bug bug nya tidak berotak coy jadi untuk garena tolong untuk hilang bug bug lebih dahulu belum update update,1
Rassya Alfiansyah,2023-06-21,woy garena update selalu bug nembus glowal nya ilangin lah ganggu sekali sama berotak sedikit lah kita capai nge push sudah boyah kil masa naik aneh nya kalau kalah duluan turun nya cok tidak ngira update selalu tidak mikirin nyaman main tertawa,1
Muhammad farrel Alfiansyah,2023-06-21,kalau niat buat permainan itu yang benar semakin update bukan semakin bagus semakin semakin banyak bug glowal layang lah atau bug damage nama curang,1
alfin maulana,2023-06-21,saya kasih rating satu karena banyak bug sudah ff update bug damage dan lainnya garena goblog bug tidak benarkan balikin garena yang dulu,1
Azizan Fawzi Setiawan,2023-06-21,sekarang permainan ff sudah tidak seru makanya saya kasih bintang satu tolong garena permainan frefire glowal kalau pencet suka tidak muncul jadi susah kalau main,1
Farid Atallah,2023-06-21,untuk gameplay nya bagus tapi saya bisa log in tolong baik,5
Muhammad Aksan,2023-06-21,ff sangat bagus dunia dan banyak player yang jago jago saya iya permainan ada lebih yaitu sigma huruf keren a untuk hapus permainan nanti ada yang ambil jam kita terus dia hatihati tidak j j,5
Maria Jessica,2023-06-21,sudah jelek sangat baca info permainan nya lama sangat kalau mau matchking semakin loading itu loading nya lama sekali hampir menit padahal jaringan nya sudah bagus tolong diperbaikidi cek iya admin,2
DIMAS ANDREAN,2023-06-21,permainan rusak setiap upgrade semakin tinggi banyak bug dan patah patah,1
Benaya Nagora,2023-06-21,kecewa gw game kan kalau saya mau push rank mati saja muluu saya kan hapus ini permainan tapi bagaimana sudah lanjur top up banyak kalo gacha hoki Hanya kalau main kasih team yang tidak bisa andal dan kalau main cs pasti ada tim yang rank nya bawah atau selsaikan mohon kasih batas untuk rank permainan mobile legend dan saja yang mau saya sampai mohon baik moga mimin baca ya ini cukup resah,1
Laras Prasetya,2023-06-21,saya tidak suka sama update baru dikitdikit saat mau main cs rank turun terus  sekarang sudah tidak gampang naik in cs rank,2
agus adewanputra,2023-06-21,topup banyak banyaksetiap apdate hanya lobby yang bertukarsinyal tidak ada beda lambat parahdasat permainan rusak,1
Wisno Rifai,2023-06-21,saya memang suka dengan permainan tapi banyak bug yaitu lambat parah padahal jaringan tidak data juga gb dan parah akun saya suspen saya mengunakan cheat itu yang jadi masalah,1
Rendy Eka N,2023-06-21,najis sudah mah buriq jaringan tidak benar padahal sinyal saya full kuota masih ada main permainan lain aman sama lancar lancar saja semakin hari semakin tidak benar padahal main sinyal tiba tiba hilang walaupun sinyal hp saya sebenernya masih ada dan lancar buat permainan dan internet lain,1
Veny Sukardi,2023-06-21,update hari bagus sekali tapi tolong garena barang barang yang old jangan hapus tolong admin kembali barang old dulu glider dan lain lain,5
kaito _dark devil,2023-06-21,update ter tapi bug tidak pernah perbaiki update permainan buat jadi lebih bagus boleh tapi inget bug juga fiks lah kan kalau bug nya sudah fiks jadi enak main inget percuma update besar besar tapi bug tidak pernah fiks niat biar player bisa main dengan nyaman dan permainan yang seru tapi bug tidak peduli bagai cinta yang tepuk belah tangan kata cinta tapi peduli niat hati ingin memper bagus permainan semakin buruk,1
ha ihya ulul azmi,2023-06-21,baik bug game jangan seru baik senjata keluarin karakter tidak ngotak ada ada saja ini permainan,1
Lia Dedeh amelia,2023-06-21,permainan nya sudah mantap grafik nya juga mantap tapi diamon aku tidak masuk saat aku top up,3
Juliana Dewi,2023-06-21,untuk developer tlng baik bug tiba-tiba langsung keluar game pdhl jaringan bagus,1
imba AdinDP,2023-06-21,untuk develover tolong hilang fitur baru skill random yang ada kotak samping karakter homer yang tiba tiba keluar saat ada musuh itu sangat rugi saya sering kalahmati ketika hadap dengan musuh yang juga dapat skill random juga,5
Arisman Firmansah,2023-06-21,permainan buruk sinyal seperti anjj masa saya mau main push br terus pesawat sinyal saya merah selalu tapi saat aplikasi lain lancaraja dan terus trsn merah pesawat tiba tiba lobby sendiri dan poin rnk saya turun tiba tiba permainan kalau tidak bisa buat gaush buat anjj,1
Ranto Tompo,2023-06-21,permainan nya sudah bagus hanya tolong skill aktiffnya cukup satu satu saja sudah nyisain apa dua,1
Langgeng Widodo,2023-06-21,ada bug aneh sini yaitu bug singal yang mana singal saya itu mudah an lah tapi tiba ngelag tidak henti henti sudah itu keluar dari permainan ya sudah saya rekonek tiba singal saya kembali an bug kesal sangat sumpah tolong segera fik please,1
Chris Tian,2023-06-21,saat main rank saya ketemu musuh yang level nya dan rank nya beda jauh kan adil,1
Wahyu Adi Saputra,2023-06-21,permainan semakin update semakin buruk masa saya main mode cs tiba tiba keluar sendiri dari permainan terus kurang kredit skor nya cara wajar padahal koneksi saya lancar tolong baik semua bug nya kalau permainan mau ramai kembali garena,1
Alif Alfatah,2023-06-21,hah dari tahun tahun jaringan nya tidak pernah baik asal ada apa apa lambat ngelg hah saya sudah kesal sangat lihat jaringan parah kyk begini asal gerak sedikit padahal sudah laporin jaringan nya masih saja begitu saja lma turun terus honor scor aku karena keluar masuk keluar masuk nanti lama lama lama lama saya ajak pensiun seluruh dunia padahal sudah pakai wifi sudah lancar masih saja jaringan kyk begitu parah sangat mau main saja susah tolong dong baik agar main lain juga akan tenang please baik,3
Firda Dwi febriana,2023-06-21,admin aku kan pakai dobel bareta siap itu aku tembak musuh sudah hit tidak mati mati admin coba baik bug deg admin,4
DaN CH,2023-06-21,garena tidak jelas tiba tiba keluar match sendiri terus kata honor score rendah karena akibat keluar paksa padahal tidak pernah keluar paksa itu mana minus pula vel,1
Adya Wiguna,2023-06-21,tolong untuk garena bug jaringan itu baik masa jaringan ms nge lambat tidak seperti dulu jaringan segitu itu tidak nge lambat dan satu bug senjatamap itu tidak lihat tolong fix bug nya,3
Fhari maolana,2023-06-21,bisa buat mekanik rank tidak saya sudah ngumpulin poin banyak kalau kalah kurang bisa buat rank tidak sudah susah susah naikin rank sekali tusun bh ngurang nya tidak berotak tapi sekali boyah tambah sedikit sangat,1
Yanti Heryanti,2023-06-21,permainan lumayan bagus untuk main sama tapi masih ada bug yang terkadang menggangu ketika main,3
Guardiola panjimuhlisin,2023-06-21,permainan nya aneh tombol tembak saat pencet tombol nya semakin kanan aneh benget tolong baik garena ff jelek,2
Channel hiburan official,2023-06-21,semakin tidak seru ff sekarang kalau mau update yang bagus lah sudah sering update semakin tidak ada bagusbagusnya ff ff,1
Nisa,2023-06-21,aplikasi nya turut saya sih oke selain hatiem piatuu juga oke sangat main kan mau saat santai atau sedang on the way itu saja gpp,5
Aris Bae Lah,2023-06-21,oi developer tolong lah woi baru main clash squad ranked baru babak tiba tiba keluar terus scor hoonor saya rangin lah woi rusak rusaklagi ngepus gm padahal dan sering sekali jadi hanya sekali saja tolong,4
Muhammad Dafa,2023-06-21,sumpah kalau saya kecewa sangat sama kamu min dri dulu saya main permainan ini cma kli saja saya rasa kecewa sama permainan ini masaa sudah hedsot musu nya tidak mati hbis itu bug nya banyak sangat lgi sumpah sudah stlah ari kulgar keluar saya rasa permainan banyak kejangalan nya,1
Arfa Khairan Anhar,2023-06-21,permainan nya bagus tapi ada sedikit bug tolong baik iya garena,5
Hamzah Atharasyid,2023-06-21,garen updet kalau tidak bagus semakin berat gamenya masa simpan saya masih gb ngelag saat main br padahal gtafik saya makeknya sudah yang setandar tolong baik iya sama bug nya,1
Susanti Na70,2023-06-21,halo yang milik saya minta tolong buat map salju kembali soal lebih seru saya tambakan satu bintang kalau map nya rilis dan satu kalau collab itu bagus iya permainan nya seru kenapa tapi tolong keluar map nya dulu please pubg map salju ada gurun ada begitu admin oke please,4
Ariel Putranugraha,2023-06-21,tidak jelas saya main br rank saya masih gold semakin ketemu granmasrer sama heroic padahal masih gold tolong itu baik kalau sudah baik saya kasih bintang sama kasih lawa setara saja rank nya,1
Faiz dwi Ramdhani,2023-06-21,permainan nya sih bagus tapi sayang nya banyak bug nya,5
Aisyah Rgt,2023-06-21,setiap main ada saja bug yang resa hp hilang sinyal kuat padahal sudah pakai realmi c tapi masih juga bug sudah ram loh saran dari saya tolong baik garena,1
Ibnu,2023-06-21,kalau main tiba bisa sentuh apa itu bug juga iya tolong garena baik bug yang sering free fire,2
Fai Zal,2023-06-21,assalamualaikum saya mau protes saat mau login jaringan saya bagus tapi saat nak cit tombol untuk kenapa dak bisa padahal jaringan saya bagus mohon baik aplikasi free firenya,1
Johanes Daniel,2023-06-21,tolong baik sudah update banyak sekali bug dan main permainan saya lancar sedikit lebih ngelagg dari belum nya tolong baik,1
erizal Weri,2023-06-21,permainan nya tidak seru karena keluar dan ngaleg tolong baik,1
Dharma raka Pratama,2023-06-21,admin benarkan epep lah bagus sih sudah tapi masalah lain perbaiki misal kan saya jaringan bagus tapi semakin kembali nah minimal dulu nanti tahu yang nhelag mana bug deg nya juga,3
restu ramadan,2023-06-21,garentot tolong baik bug nya bug yang bisa mulai,5
Topo Purnomo,2023-06-21,ff saat mabar langsung mental tidak bisa sambung ulang padahal masih lobby starting island dan kalau login koneksi buruk request timeout,4
Agus11 Iya,2023-06-21,untuk pasang gloowal nya semakin masang belakang musuh tolong bugnya baik,3
Defri Farhan,2023-06-21,semakin tidak jelas permainan nya bukan makim bagus malah semakin jelektiba tiba lag sendiri lah bug deg tidak bisa lompat dari pesawat musuh tidak keliatancuma tahu update tapi bug tidak urus,1
Dimas Jaenal,2023-06-21,free bagus tapi ngapa tidak bisa loncat glowal sama tolong baik atau tidak semua akan pensiun,1
in art,2023-06-21,permainan nya seru banyak juga free item setiap hari aku paling suka cs ranked cs ranked ada babak suka sangat deh,5
Glewo Channel,2023-06-21,permainan nya bagus Hanya ada salah yaitu banyak player cheat terbang dan config maka saya kesal karena ada nya cheat terus saya ketemu orang yang aknornal headshot oke sampai sini dulu terima kasih,3
Hanzar Hanzar,2023-06-21,bagi kami permainan suda tida seru dulu banyak player old lain iya pensiun dari game e karena skill karakter aktif nya tidak jelas contoh karakter drone yang punya slowmo tidak berotak gerak sangat lambat dan mungkin kitika perang dan neka drone sudah jelas mati alasan dua skill karakter lainnya alok crkerowno sudah bagus tapi kurang skill aktif sudah tidak bagus dan posisi lain skill karakter yang lain terlalu tingi malah per bagus,1
Nelam Hany,2023-06-21,permainan nya bagus sangat tapi saran untuk garena baik bug yang ada,5
Nofa Rudin,2023-06-21,game apan  saat main cs rank dm dapat musuh padan dan tim juga dapat yang bodoh walawpun gemenya seru tapi tidak enak jika kalah terus,1
Bernard Chris Tian Liun,2023-06-21,iya jaringan lag parah tolong dioerbaiki dong sangat rugi player tolong segera baik,1
BANG Bos,2023-06-21,saya suka permainan free fire tapi terkadang hp saya jadi patah patah dan dapat husuh yang pro pro dan aku sering dapat bug karakter lihat tolong baik dan tolong hp saya walau memori masih sisa banyak tapi tetap patah patah sampai kalau ada musuh pasti hp saya patah patah jadi tolong kecil kan ukur permainan nya,5
Wa one,2023-06-21,damage senjata nge bug niat tidak buat update game masih banyak yang salah aduh tidak bisa mtk,1
syamsuri zal,2023-06-21,glow maker nya tidak bagus sya sering habis glow waal tolong kembali mula jika bisa saya beri tanpa bintang,1
Riski Aditiya12,2023-06-21,terlalu banyak bug tolong baik darah sering hilang glo wal selsaikan tapi saya tetap tunggu freefire seperti dulu lagi,5
Ipah Masripah,2023-06-21,bug kamera benarkan kalau mau tembak semakin ngegeser kamera kalo keluar custom terus main custom suka tidak bisa masuk room padahal baca bisa tetapi tidak bisa kalau login ulang pun tidak bisa tetapi kalau pakai akun yang lain bisa tolong lah jangan benarkan grafik saja,1
Dika ID,2023-06-21,tolong lah untuk pihak garena permainan semakin sini semakin susah sinyal apa saat ada musuh tiba tiba jaringan naik sedang dari awal jaringan baik baik saja jadi tolong lah untuk pihak garena beri yang adil biar bisa main dengan nyamaan,1
Afriza Hanung,2023-06-21,main game terkadang lag terkadang bug terkadang rim sendiri sih admin,1
mamah aji,2023-06-21,sudah update baru ff semakin jadi semakin ngelag bug sinyal padahal sinyal tidak maaf saya kasih bintang dulu,3
Rendi Rendy,2023-06-21,kenapa glowal nya batas padahal kami para player sudah senang glowal nya batas kami sudah nyaman dengan glowal yang batas tolong kembali soal yang kami ingin senang main bukan update yang tahu penting nya,1
Rafael Erlangga,2023-06-21,permainan lebih buruk dari pada sampah percuma install permainan nya buruk hapus hapus setiap aku main error wifi saja anjing akun suspendbendhack heh garena garena selalu saja error,1
Nabila Anggraeni,2023-06-21,permainan nya bagus hanya saat main terkadang suka lambat karena singal tapi sudah singal baik permainan juga jadi kembali  pokok permainan nya sangat seru,4
「Akila ・Kyoshi」,2023-06-21,kesal lihat banyak update sekarang dulu metode topup dulu yang pakai bisa tapi kalau topup yang sekarang semakin tolakgk bisa lah semakin rusak sudah bukan benarkan bug dulu semakin memperhd grafik jadi ngelag,1
marsel marsel leo syahputra,2023-06-21,garena tolong lah masa top kil damage masa masih admin harga lah juang solo tolong baik cepat mungkin kalau tidak free firee bakal saya jadiin sepi,1
Xyro S,2023-06-21,permainan hd cuy asli kalau kalian download permainan kalian akan manja oleh grafik dari permainan permainan juga sangat realistis dan mode nya juga variasi ayo download cuy permainan hd oh iya permainan sangat hd jadi pasti anda pakai obat mata agar sakit mata karena grafik nya hd,5
Nofri Mulyadi,2023-06-21,permainan tai kulitas sinyal permainan sagant buruk lebih dari ngelag kurang dari ngelag juga terlalu tinggi lag juga tai memang tidak bisa ngurus dengan baik kamu,2
Kayuda,2023-06-21,sinyal padahal bagus tapi saat in permainan sinyal jadi jelek,1
Mira Mirandhy,2023-06-21,semakin update semakin rusak sudah begitu banyak bug pula tolong lah garena segera baik agar player nyaman main,3
Heng Heng,2023-06-21,signal dan bug di baharu parah suka error,1
Adit “Adit” Putra,2023-06-21,hello garena device saya bisa on kan tolong baik garena hp saya infinix semart tolong baik,5
Rizqi Ramadhan,2023-06-20,banyak bug contoh glowal tembus peluru glowal tembus charakter bug damage masih banyak sekali bug,1
Putra Teknik,2023-06-20,garena kamu tahu tidak sih kalau hp kita kita pada kentang kita dowload config anti lag hanya buat main biar lancar tidak patah patah semakin kena blacklist kita mau main ff lancar seperti youtuber kita orang yang tidak mampu buat beli hp bagus ff sudah nemenin saya dari kecil sampai saya sudah mau dewasa tolong jangan update yang lebih terimakasih free fire,1
Yoggy Maullana,2023-06-20,semakin kesini semakin aneh banyak bug apa sinyal nya itu suka drop padahal pakai permainan lain lancar,1
Naufal Aqila,2023-06-20,mantap harus dengan untuk menang permainan tapi kalau kan gaya harus,5
Luzz Xy,2023-06-20,permainan nya sudah bagus tapi tolong dong garena bug tembak nya ilangin,1
Amar Khadafi,2023-06-20,permainan nya sudah tidak stabil dan server nya tidak bagus mulu banyak bug,1
Ha Nu,2023-06-20, jaringan chiters musuh chiters susah knock end masuk zona akhir musuh baru muncul semua tidak sama dulu yang paliing jadi masalah pada saat hadap dengan player global gerakan patah apalagi muncul  pasti kita end sudah banyak player ff alih permainan mlkarena sudah banyak yang benci ff karena soal lag bug nya sekarang banyak player bot yang ikut setiap squad,5
adel aprianto,2023-06-20,garena anjing makinlama update semakin tidak tidak enak please lah munculin file ff lama aku rindu sangat sama ff lama dari pda ff baru tidak enak,1
asepiluh smsung,2023-06-20,soal freefire itu cukup bagus hanya buat soal grafik harus cukup tingkat dan masih ada beberapa bug dan untuk developer mohon jika inggin uptade mungkin minimal tahun kalau jadi berat para player sekian terima kasih,4
Tanawir Awi,2023-06-20,saya sedang jadi spektator tapi bisa nyasar room orng saat saya sedang on mic itu mohon baik y itu saja dari saya terimakasih belum,3
Fidia Agustina,2023-06-20,tolong deploper baik lagi jaringan nya masa saat saya mau main itu ngeloding terus lama sangat padahal jaringan saya bagus terus pada saat long outs itu mau perikasa akun yang lain itu juga lama sangat muncul dan juga tlng hadiah mau ngespin sg nya jangan trial beri yang habis dm nya tapi tidak dapat ap ap karena hadiah trial dan juga tlng bugnya baik masa saya tembak musush damage nya sakit tapi musuh tidak mati mati,1
Ragoor Sapni,2023-06-20,masalah pada jaringan pada saat main jaringan nya bagus saat main aplikasi lain lancar,5
Aldo Oppo,2023-06-20,game nya sih sudah bagus tapi ada satu uang saya suka yaitu tolong kembali akun saya tolong diperbaiki ff nya maaf saya hanya bisa kasih bintang tapi kalau pulang saya kasih bintang,1
